Longitude,Latitude,Source,Impact
-82.26810,35.24740,DOT,Road
-83.27130,35.14010,DOT,Road
-82.18600,35.56910,"DOT,S2",Road
-81.20400,36.44370,"DOT,S2",Road
-82.27890,35.92600,DOT,Road
-81.20720,36.51760,DOT,Road
-83.10160,35.11380,DOT,Road
-83.14230,35.22230,DOT,Road
-81.87030,36.08010,DOT,Road
-82.28440,35.61930,DOT,Road
-80.90377,36.55556,"DOT,S2",Road
-81.75696,35.64867,"DOT,S2",Road
-82.49390,35.46770,DOT,Road
-81.24556,36.35615,S2,Road
-82.38993,35.24486,PC,Various
-82.17930,35.76988,DOT,Road
-81.89001,35.79558,"DOT,NO",Road
-81.88678,36.06758,DOT,Road
-82.33345,35.34563,"PL,S2",Road
-81.60219,36.15394,"DOT,S2",Road
-82.26192,35.61867,"MR,S2",Road
-82.45099,35.36710,DOT,Road
-81.34579,36.12587,S2,UNCLEAR
-82.75583,35.61999,MR,Road
-81.87063,36.17895,MR,Road
-81.70398,36.20578,"MR,NO,S2",Road
-82.58139,35.25456,MR,Road
-82.27587,35.46827,"MR,S2",Building
-82.37658,35.27343,"CAP,S2",River
-82.47998,35.29404,CAP,Road
-82.18966,35.90728,"PL,S2",Road
-82.28674,35.45164,"MR,UA",Road
-82.34737,35.32012,MR,Building
-82.10687,35.39956,CAP,River
-82.49551,35.62645,"MR,UA",Road
-82.29631,35.58211,"MR,NO",Road
-82.49952,35.62547,MR,UNCLEAR
-82.31753,35.46619,"DOT,S2",Various
-82.23396,35.62363,DOT,Road
-82.23309,35.62230,DOT,Road
-81.94186,35.87547,DOT,Road
-82.86533,35.61922,"DOT,S2",Road
-82.76948,35.29635,MR,Road
-82.38974,35.23402,"DOT,S2",Road
-81.42732,36.85265,S2,Various
-82.01972,35.79628,"MR,UA",Road
-82.12439,35.41951,CAP,Other
-82.12787,35.41941,CAP,Road
-82.16604,35.42747,CAP,Road
-82.31908,35.34393,"PL,S2",NONE
-82.36428,35.23615,"MR,S2",Road
-81.76594,36.29465,PL,Other
-81.76526,36.29186,PL,Other
-81.75252,36.33492,"FO,S2",Building
-81.75135,36.34507,"PL,S2",Road
-81.75142,36.34327,"PL,S2",Road
-82.47195,35.24888,"PL,S2",Building
-81.65146,36.20946,S2,Other
-81.65028,36.20749,S2,Road
-82.18437,35.42699,CAP,Road
-82.19582,35.63377,CAP,Other
-81.85601,36.14242,FO,Road
-81.53000,36.23982,MR,Road
-82.42780,35.62106,"PC,UA",UNCLEAR
-82.33081,35.87655,"PL,S2",Road
-82.32979,35.88854,"PL,S2",Building
-82.32012,35.89675,PL,River
-81.17428,36.69154,DOT,Road
-82.35313,35.25282,"CAP,S2",UNCLEAR
